#{"t_start": 1750263531.055104, "env_id": "None"}
r,l,t
8.69622,45,24.36957
2.260201,45,54.152456
10.833822,45,109.321469
9.308986,45,132.007424
14.587255,45,152.753278
19.063684,45,174.427878
14.093387,45,199.080987
15.191429,45,224.282597
12.635457,45,244.627418
14.621187,45,273.284503
3.666008,45,297.529288
11.510272,45,327.71624
2.768142,45,353.181843
11.350416,45,375.874052
17.748713,45,396.235242
15.22127,45,433.170481
11.751609,45,453.777614
15.624465,45,473.220813
6.105145,45,494.34357
9.465839,45,525.439948
16.993781,45,549.350306
11.604846,45,576.100194
14.186284,45,607.360189
21.364057,45,632.794383
18.732447,45,654.405393
15.58941,45,680.418031
9.003689,45,704.085596
20.128783,45,728.08541
19.755687,45,752.036267
12.921954,45,774.762477
16.483476,45,797.745509
13.289893,45,820.468326
14.233742,45,849.82304
13.982927,45,875.057401
11.407424,45,903.383759
13.230314,45,929.029392
17.017535,45,951.197072
14.528491,45,975.718039
20.149669,45,1000.576716
22.254867,45,1024.672096
21.574555,45,1048.641717
5.838273,45,1071.117334
11.908974,45,1093.108401
18.488868,45,1115.39602
8.370201,45,1135.313993
11.066231,45,1161.979768
24.091139,45,1181.261258
23.741656,45,1207.234308
16.2474,45,1229.533391
16.489175,45,1249.03864
11.818906,45,1271.2005
13.416893,45,1296.638586
16.731716,45,1315.906147
9.567823,45,1343.930033
12.958208,45,1365.476445
22.705963,45,1389.517073
20.039557,45,1413.012434
19.079868,45,1552.330156
14.845873,45,1570.74948
12.33682,45,1593.475471
18.725322,45,1614.804292
17.541712,45,1637.224962
5.25593,45,1657.841763
18.505892,45,1682.845332
21.738674,45,1707.219182
10.034069,45,1730.910983
18.741947,45,1749.758348
18.238271,45,1768.574677
16.623099,45,1793.186507
17.849084,45,1826.60839
21.51631,45,1854.696421
10.36576,45,1875.071469
18.111523,45,1903.848232
22.95555,45,1926.470038
19.812895,45,1952.707003
21.002582,45,1994.521442
28.108638,45,2017.77571
21.312831,45,2038.752512
19.507501,45,2060.505326
26.006556,45,2080.858029
15.314739,45,2104.785395
16.154048,45,2129.875018
19.939614,45,2149.720503
19.95512,45,2172.926018
18.285037,45,2196.461005
13.862876,45,2225.122236
14.004271,45,2248.239796
22.16347,45,2272.432998
16.576791,45,2300.228098
24.474663,45,2322.410668
15.471394,45,2349.249123
13.15419,45,2370.43003
18.02812,45,2394.940901
19.760309,45,2416.442512
18.113567,45,2456.594478
18.880374,45,2476.652037
21.63871,45,2503.31336
18.520313,45,2527.277527
26.735925,45,2560.850548
20.095308,45,2586.937252
17.864792,45,2606.124289
24.25877,45,2634.365103
22.145583,45,2663.81462
18.47003,45,2690.745498
20.918607,45,2713.270037
25.236339,45,2736.003599
27.348127,45,2760.988564
27.99803,45,2784.414544
24.058116,45,2823.704492
22.661746,45,2847.389043
19.046515,45,2867.958436
21.974209,45,2897.954985
22.163017,45,2921.256608
13.013377,45,2943.189502
22.074576,45,2966.405163
16.320896,45,3022.42871
16.360953,45,3043.742024
24.37881,45,3064.517097
24.289322,45,3089.129061
23.728086,45,3113.932946
19.722596,45,3134.766384
23.952442,45,3155.551237
24.569706,45,3179.985422
24.765239,45,3205.102408
28.053259,45,3226.281336
23.528194,45,3245.700433
27.227224,45,3277.842508
21.214717,45,3302.645377
25.032953,45,3329.347981
26.151035,45,3350.630978
16.221465,45,3372.847228
27.979711,45,3399.16514
18.984057,45,3423.795356
24.085511,45,3446.932997
24.534747,45,3471.683057
27.001087,45,3493.303995
22.511703,45,3519.030978
25.64811,45,3545.903265
24.435059,45,3569.719067
21.44976,45,3596.815245
23.599883,45,3617.908423
24.131332,45,3639.522992
27.868977,45,3662.648715
25.998758,45,3689.315712
25.814384,45,3722.446465
23.351466,45,3745.958231
26.298699,45,3767.583905
26.875637,45,3789.017522
19.30044,45,3823.343508
25.673983,45,3844.632374
16.195424,45,3867.365488
23.863667,45,3890.019991
21.818867,45,3911.804566
25.968358,45,3935.560157
25.901823,45,3962.300927
25.16437,45,3986.602343
27.849732,45,4013.954001
23.01326,45,4035.158417
26.914359,45,4057.782982
25.497726,45,4082.771409
22.862182,45,4105.868445
27.014621,45,4130.775149
26.223933,45,4152.687419
22.02576,45,4176.435524
27.054016,45,4196.850883
22.432555,45,4224.603986
18.814161,45,4245.924282
22.460675,45,4268.28108
23.482263,45,4289.737726
25.966862,45,4312.220622
21.1794,45,4334.597494
24.553792,45,4373.240065
22.391694,45,4393.934693
25.994859,45,4416.029384
26.205827,45,4439.889421
23.316085,45,4464.864436
27.461972,45,4493.444241
26.295882,45,4520.39495
27.65082,45,4580.480995
24.212961,45,4607.939732
24.985077,45,4634.709628
26.682751,45,4675.284114
27.30358,45,4707.888197
27.816451,45,4741.253447
23.660252,45,4764.206893
25.222042,45,4790.527883
24.289713,45,4828.942502
22.807565,45,4853.776455
23.060465,45,4890.01604
23.016087,45,4913.13199
26.04377,45,4944.343564
20.380859,45,4980.461372
